,Ticker,Close,Quantity
3572,FLUOROCHEM,572.05,58.0
691,IOLCP,743.55,45.0
2666,DIXON,11377.85,3.0
512,GRANULES,412.9,81.0
55,ALKYLAMINE,3681.8,9.0
1507,TATACOMM,1070.3,31.0
2552,NAVINFLUOR,2523.0,13.0
6,AARTIDRUGS,685.6,49.0
1614,VAIBHAVGBL,2112.85,16.0
324,DHANUKA,728.8,46.0
2846,GMMPFAUDLR,3690.85,9.0
725,JBCHEPHARM,954.85,35.0
1324,SEQUENT,153.25,218.0
1160,POLYMED,486.15,69.0
316,DEEPAKNTR,805.35,41.0
2824,AMBER,2167.6,15.0
2451,ADVENZYMES,324.75,103.0
3182,INDIAMART,4697.95,7.0
3204,AFFLE,3255.9,10.0
2508,CDSL,471.4,71.0
1473,SUPPETRO,324.35,103.0
403,ESCORTS,1387.45,24.0
207,BLUEDART,3896.1,9.0
656,INDIACEM,156.15,213.0
51,ALEMBICLTD,103.9,321.0
693,IPCALAB,2136.7,16.0
82,APLAPOLLO,3178.95,10.0
949,MINDTREE,1391.6,24.0
1444,STAR,750.35,44.0
1539,THYROCARE,1047.65,32.0
